frame,gridx,gridy,hand_value
270,5,2,2.2463302399965733e-14
270,5,3,3.203526122157953e-09
270,5,4,5.566309987309109e-07
270,5,5,1.569627987522765e-07
270,5,6,1.0796314407059936e-11
270,6,1,1.09810136618774e-18
270,6,2,1.6994827135916235e-10
270,6,3,1.1798351967222249e-06
270,6,4,3.340334454810655e-05
270,6,5,7.739339605798392e-05
270,6,6,7.952404519358341e-06
270,7,1,2.7547757308207184e-19
270,7,2,4.57528821203473e-11
270,7,3,6.116268799733264e-07
270,7,4,0.00032765311326294336
270,7,5,0.041819091865031764
270,7,6,0.011953108224680008
270,8,1,5.266289244844885e-26
270,8,2,1.6103211297339368e-17
270,8,3,7.898847792635587e-11
270,8,4,0.0003603331112838537
270,8,5,0.06276282741860259
270,8,6,0.017608417449187497
330,1,1,4.568806816168988e-22
330,1,2,1.0885288320586901e-16
330,1,3,6.944471892980758e-13
330,1,4,6.949071501521236e-12
330,1,5,1.6125943063211902e-13
330,1,6,2.2221491932548227e-19
330,2,1,9.857021823862784e-14
330,2,2,2.333310938290423e-08
330,2,3,0.00022050826652154107
330,2,4,0.0023370118212468773
330,2,5,5.933573663993424e-05
330,2,6,1.0080076189809507e-10
330,3,1,2.1775056696980962e-12
330,3,2,5.638900847338771e-07
330,3,3,0.008008130993979132
330,3,4,0.14019773139168004
330,3,5,0.018062328114308624
330,3,6,1.092837362845571e-06
330,4,1,5.399214854919653e-15
330,4,2,1.926509825589012e-09
330,4,3,0.00038297026338457115
330,4,4,0.06019635550616368
330,4,5,0.016895199933559455
330,4,6,1.1659100547236806e-06
330,5,1,3.708333423282708e-19
330,5,2,2.0619531524192584e-12
330,5,3,3.125662415783389e-09
330,5,4,4.186298981600749e-07
330,5,5,1.1897307370375673e-07
330,5,6,8.366182058789271e-12
330,6,1,3.0843428149442554e-15
330,6,2,1.703658877312101e-08
330,6,3,8.267921988405502e-06
330,6,4,9.811003426162485e-05
330,6,5,0.00018130032787444224
330,6,6,1.589217213263378e-05
330,7,1,8.167038801549151e-16
330,7,2,4.505086059923354e-09
330,7,3,3.094040617364986e-06
330,7,4,0.0005601949960340075
330,7,5,0.05648243404947364
330,7,6,0.016236339864327178
330,8,1,1.724675527196649e-22
330,8,2,9.682868577707747e-16
330,8,3,1.2142754864087544e-10
330,8,4,0.00040090192594782336
330,8,5,0.06933290377649282
330,8,6,0.01936390099183541
390,1,1,3.084061403993605e-11
390,1,2,1.1829319646914773e-10
390,1,3,2.8669466197036442e-12
390,1,4,8.211778104979068e-14
390,1,5,1.5384534001119724e-16
390,1,6,1.3291810938529026e-22
390,2,1,0.0019363665794727859
390,2,2,0.007176317877563641
390,2,3,0.0003551087961287844
390,2,4,2.7126666684857196e-05
390,2,5,7.804781876816192e-08
390,2,6,5.1906116121331757e-14
390,3,1,0.02525034754303081
390,3,2,0.09328726988426796
390,3,3,0.007450921523535929
390,3,4,0.0008868582043800358
390,3,5,3.104110092096027e-06
390,3,6,2.213336966244675e-12
390,4,1,3.2145817068665105e-05
390,4,2,0.00012157159448096258
390,4,3,2.0768023157596204e-05
390,4,4,4.1524515128327434e-06
390,4,5,2.1730280953813405e-08
390,4,6,3.0099785800748086e-14
390,5,1,8.519002286909371e-09
